Id,Division,IsCompagnons,GuestId,Team
1a3a63e06f02289af109c07449cd6218d629e25c262cabd379d86a8b9e3aa83e,BIS Grand Ouest,OUI,,
007d499cf14c7993d298aaf8b129fee6525debe5014e4aeee5387b0a94262d27,"Réfrigération, Sécurité Incendie & Décarbonation",NON,,
fe9db5bbb1f50d3b2669d46570942a39acfe408bbe57e8b3cc3f1d5ee5a87d64,BIS Ile de France,OUI,,
6b4393271be60be3aa81e64dff9f6fcdf8ca223b6f38977968fed24d8d955f70,"Infra Ener, Défense Marine Aéronautique, Ingénierie",NON,,
7d044c62f62d26afba9902a292459bc7b063bcf95d74a895763198709221053e,"Infra Ener, Défense Marine Aéronautique, Ingénierie",NON,,
14ccaa2596cd06ec109c54473dce8081d4cba39a4ed4bc14853e4ec755d243d8,BIS Grand Sud,NON,,
4b7bc619c4fbc1be06d1f191ceb6a4c7b9ce84fe8643e3f586cd92412cb38be3,BIS Ile de France,NON,,
141d2808223974b089dca5e13a55c482386a00f88be0d74ec0fbc7085c26247d,BIS Services Bâtiments & Infrastructures,NON,,
8a3033f83eb1d3ccf4df8b6a859b7e693477d362a10afa2b9d3098db0ac7cbcf,BIS Grand Sud,NON,,
8796c65a3f435c922572272c4ece8c890a94a5627d7ebb5a4b3c0dec77abf910,BIS Grand Sud,NON,,
28839a1f5b883cc610f42d199af7de90d79c735f3b4abdfd4911058b3508c719,BIS Grand Sud,NON,,
2caf933defc89d4a1f394235e0773f21004537b4ed7dbf91ef0de7d8681c6959,BIS Services Bâtiments & Infrastructures,NON,,
7ffdf0663c830bf9d62808b75a8635afa2bc5def6c77faa97d82544527382a37,BIS Services Bâtiments & Infrastructures,NON,,
9638e11d4da8c95dcd1544f80109fc45373893b3d4d069db0a2cf4d5c707d96d,BIS Services Bâtiments & Infrastructures,NON,,
39e5846c9faee395d7ee1b31996063603ba350c3a89113863775f7aad0ba39b6,"Réfrigération, Sécurité Incendie & Décarbonation",NON,,
67bb1030f05563d2c7b47f2504f63a35ef8a72e82f777cccec01dfa795553d61,"Réfrigération, Sécurité Incendie & Décarbonation",NON,,
a321b3438e8d5e878cee38e93d7d51e26a482f3677b5c485689f4359a274a005,BIS Services Bâtiments & Infrastructures,NON,,
4178fdd732cc0e35ac4354ba22d35af9536c8dec4d07dfd09ec1d981b4731f37,BIS Nord & Est,NON,,
811eb61914b28430213bdc33c5cb1a9dc945cccee18f40110dce130cdd2b842f,BIS Grand Ouest,NON,,
942b5c08531b79bb8aaed24cc4ac8f6ad10218a62c4f6419e6170132df7d0d05,Industries des Procédés,NON,,
08df1592997cc3075dbd909ed18288b5cd1a24f8a857e94e45d7180daf570a80,MBU CEDE,NON,,
113d7c844637bd1e69d82315754d226334aebd7d1d202b068354201f3e1fb95e,BIS Nord & Est,NON,,
cb7b74ba200adeb567364c6c194dc1a38373e3e1e7ceb7b9b08f41694f9f46fd,"Réfrigération, Sécurité Incendie & Décarbonation",NON,,
1e78b590d6053bbdac9e0ab2e765ccd87c522f3265b42f968df54edc540ed63b,"Infra Ener, Défense Marine Aéronautique, Ingénierie",NON,,
68761bf5e28492dbb98f19999210d7c32235d9fa4447b2ec0d855feae03c5cbb,BIS Grand Sud,NON,,
aadf3610472db4e430e2ed4f64747933dd8c6769d5602c0c81fcd20606c25547,"Réfrigération, Sécurité Incendie & Décarbonation",NON,,
786de7936d948161534727e005b6fa8403b8e66b0b71a4df827c6fca371fa992,Industries des Procédés,NON,,
ac8f5749dcd75fda5f00fdae35cfcdcaf27e36c108a7a736e713dfe80baa1447,BIS Services Bâtiments & Infrastructures,NON,,
7c5e1f5b9837d10ef08b801ab4b9345d65d7b134e1d3d0d13d4935109dd0f7c6,MBU CEDE,NON,,
4a791517e1bb3f20abc7fb03cb8f0114651fd9c0925273c51db850ba84fd865b,BIS Services Bâtiments & Infrastructures,NON,,
e7e817571b64598e9fbc22c6f41a7ff3a59a39b64b5f957ada0e2e0c1d8a15bf,BIS Nord & Est,NON,,
eef49796a3dc4c0db2b5bd807f6adb45a41f1198712c94a23e13b15f2fa161e3,"Infra Ener, Défense Marine Aéronautique, Ingénierie",NON,,
91ea2ffe9b3f6655ab21791967400e9dff4ccac46c2563c56ecdb17fd45c7626,BIS Grand Ouest,NON,,
e364dcbdfdfb2f843b6fb17b5c5bf3934f615864a289180a596f41baa4a75b8a,"Infra Ener, Défense Marine Aéronautique, Ingénierie",NON,,
78338172fee29b0c0e0866e60317eb898dd60e7890da83e870b7c5626defa2e7,BIS Nord & Est,NON,,
