Équipe,Nombre de membres,Nombre de compagnons,Nombre de divisions,Divisions,Nombre de paires inviteur-invité,Écart moyen paires
Team_01,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Services Bâtiments & Infrastructures, Réfrigération, Sécurité Incendie & Décarbonation, Transport, Villes & Territoires Connectés",2,1
Team_02,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",2,1
Team_03,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",2,1
Team_04,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Infra Ener, Défense Marine Aéronautique, Ingénierie, Villes & Territoires Connectés",2,1
Team_05,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Réfrigération, Sécurité Incendie & Décarbonation",2,1
Team_06,8,4,6,"BIS Grand Ouest, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Transport, Villes & Territoires Connectés",2,1
Team_07,8,4,6,"BIS Grand Ouest, BIS Ile de France, BIS Services Bâtiments & Infrastructures, MBU CEDE, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",2,1
Team_08,8,4,6,"BIS Grand Ouest, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, MBU CEDE, Transport",2,1
Team_09,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Services Bâtiments & Infrastructures, Industries des Procédés, MBU CEDE, Réfrigération, Sécurité Incendie & Décarbonation",2,1
Team_10,8,4,6,"BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Industrie des Procédés, Industries des Procédés, Réfrigération, Sécurité Incendie & Décarbonation",2,1
Team_11,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Réfrigération, Sécurité Incendie & Décarbonation, Transport",2,1
Team_12,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Réfrigération, Sécurité Incendie & Décarbonation, Transport",2,1
Team_13,8,4,6,"BIS Grand Ouest, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Industries des Procédés, Réfrigération, Sécurité Incendie & Décarbonation",2,1
Team_14,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Industries des Procédés, Réfrigération, Sécurité Incendie & Décarbonation",2,1
Team_15,8,4,6,"BIS Grand Ouest, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Industries des Procédés, Réfrigération, Sécurité Incendie & Décarbonation, Transport",2,1
Team_16,8,4,6,"BIS Ile de France, BIS Services Bâtiments & Infrastructures, Industries des Procédés, Réfrigération, Sécurité Incendie & Décarbonation, Transport, Villes & Territoires Connectés",2,1
